customer_id,churn
C0001,0
C0002,1
C0003,0
C0004,0
C0005,0
C0006,0
C0007,1
C0008,0
C0009,0
C0010,1
C0011,0
C0012,0
C0013,0
C0014,0
C0015,0
C0016,0
C0017,0
C0018,0
C0019,0
C0020,0
C0021,1
C0022,1
C0023,1
C0024,0
C0025,0
C0026,0
C0027,0
C0028,0
C0029,0
C0030,0
C0031,1
C0032,0
C0033,0
C0034,0
C0035,0
C0036,0
C0037,0
C0038,1
C0039,1
C0040,0
C0041,1
C0042,0
C0043,0
C0044,1
C0045,1
C0046,0
C0047,0
C0048,0
C0049,0
C0050,0
C0051,0
C0052,0
C0053,1
C0054,0
C0055,1
C0056,0
C0057,0
C0058,0
C0059,0
C0060,1
C0061,1
C0062,0
C0063,0
C0064,0
C0065,0
C0066,1
C0067,1
C0068,0
C0069,1
C0070,0
C0071,0
C0072,0
C0073,0
C0074,0
C0075,0
C0076,0
C0077,0
C0078,1
C0079,0
C0080,0
C0081,0
C0082,0
C0083,0
C0084,0
C0085,1
C0086,1
C0087,0
C0088,1
C0089,0
C0090,0
C0091,0
C0092,0
C0093,1
C0094,0
C0095,0
C0096,0
C0097,0
C0098,0
C0099,0
C0100,1
C0101,0
C0102,1
C0103,0
C0104,0
C0105,0
C0106,1
C0107,0
C0108,1
C0109,0
C0110,0
C0111,1
C0112,0
C0113,1
C0114,1
C0115,0
C0116,0
C0117,0
C0118,0
C0119,0
C0120,0
C0121,0
C0122,1
C0123,0
C0124,0
C0125,1
C0126,0
C0127,0
C0128,1
C0129,1
C0130,0
C0131,0
C0132,0
C0133,0
C0134,0
C0135,0
C0136,0
C0137,0
C0138,0
C0139,0
C0140,0
C0141,0
C0142,0
C0143,0
C0144,0
C0145,0
C0146,0
C0147,1
C0148,0
C0149,0
C0150,0
C0151,0
C0152,0
C0153,0
C0154,0
C0155,0
C0156,0
C0157,1
C0158,0
C0159,0
C0160,0
C0161,0
C0162,0
C0163,0
C0164,0
C0165,1
C0166,0
C0167,1
C0168,0
C0169,0
C0170,0
C0171,1
C0172,0
C0173,1
C0174,1
C0175,1
C0176,0
C0177,0
C0178,1
C0179,0
C0180,1
C0181,0
C0182,1
C0183,0
C0184,0
C0185,0
C0186,0
C0187,1
C0188,0
C0189,1
C0190,0
C0191,0
C0192,0
C0193,0
C0194,0
C0195,0
C0196,0
C0197,1
C0198,1
C0199,0
C0200,1
C0201,0
C0202,0
C0203,0
C0204,0
C0205,0
C0206,1
C0207,0
C0208,1
C0209,0
C0210,1
C0211,0
C0212,0
C0213,0
C0214,0
C0215,0
